id,titulo,autor,tematica,idioma,num_palabras,fuente,recolector,hash_texto,texto
fernanda_hernandez_0001,La carrera imposible,"Anderson Imbert, Enrique",fabulas,es,210,Folk Stories around the World,fernanda_hernandez,5524389236c45ba03b13a308a0cac6ebcdc5c428,"Zenón: Homero contó muy bien cómo Héctor huyó al ver que Aquiles se le acercaba: tres veces dio vuelta a las murallas de Troya, y Aquiles siempre persiguiéndolo. Lo que no contó es que Aquiles, sintiendo que no podía estrechar la distancia, pensó: “¡Si Héctor fuera una tortuga!”. Bien: en mi argumento contra el movimiento yo le he otorgado ese deseo. Solo que a Aquiles no le sirve de nada: cada vez que llega al punto en que estaba la tortuga, esta ya se ha adelantado y así infinitamente.
Meliso: Tu argumento es válido solo a condición de que lo despojemos de sus disfraces. A unos meros puntos en el espacio los disfrazaste de Tiempo. Les diste un pasado —la fama de los pies ligeros de Aquiles y de las patas lentas de la tortuga—, un presente —la voluntad que ambos tienen de correr— y un futuro —la meta que los espera al final de la carrera—. Aquiles y la tortuga, psicológicamente, duran. No duran, matemáticamente, los infinitos puntos en que se puede dividir una línea. Tu argumento, para ser lógico, debería desprenderse de las imágenes temporales con que lo disfrazaste. Solo que entonces tu argumento no duraría. Quiero decir, por ser demasiado obvio nadie se acordaría de él.
FIN"
fernanda_hernandez_0002,Entre el arte y la vida,"Anderson Imbert, Enrique",fabulas,es,239,Folk Stories around the World,fernanda_hernandez,4d5815f6f8080e40610757e1559e6c7ee5efc8f4,"Jack Turpin (Inglaterra, 1750-1785) fue el actor más afamado y difamado en el reino de Jorge III. Afamado por su elegancia de galán en las comedias de Sheridan que se ponían en el Teatro Drury Lane y difamado en la sociedad de Londres por las explosiones de su carácter irascible. Una noche, en una taberna, el crítico Stewart se atrevió a burlarse de esa doble personalidad de caballero en la ficción y energúmeno en la realidad. Discutieron. Una palabra dura provocaba otra aún más dura y al final Turpin, fuera de sí y contradiciéndose, le gritó a Stewart:
-¡Le voy a probar que soy capaz de comportarme en la vida con el decoro del arte!
A Stewart no se lo pudo probar porque, en uno de sus irreprimibles arrebatos, lo mató allí mismo de un pistoletazo, pero lo probó ante el mundo en su primera oportunidad. Un testigo describe la escena así:
El actor Turpin, desde lo alto del tablado, echa una mirada al público. Piensa: “Hoy, en esta tragedia a la manera de Richard Cumberland, desempeñaré con toda mi alma el papel de condenado a muerte”. Y, en efecto, resulta ser la mejor representación en su brillante carrera teatral. Avanza con las manos entrelazadas por la espalda, el cuerpo erguido, la cabeza orgullosa, hasta que se abre a sus pies un escotillón y Turpin, en el patio de la prisión de Newgate, queda colgado de la horca.
FIN"
fernanda_hernandez_0003,Marfil y cuernos,"Anderson Imbert, Enrique",fabulas,es,136,Folk Stories around the World,fernanda_hernandez,2eae15295eb7e46ce5b94eacb34e3b6af68c24a9,"Penélope le dice a Odiseo:
-Hay dos puertas para los sueños: una, construida de cuerno; otra, de marfil. Los que vienen por la de marfil nos engañan; los que vienen por la de cuerno nos anuncian verdades.
En Homero (Odisea, XIX) esas puertas eran alegóricas: no existían sino como imágenes de ideas. Ahora sabemos que existieron de verdad. El periódico de hoy trae la noticia de que el arqueólogo Michael Ventris, en las excavaciones de Knossos, acaba de encontrar dos enormes puertas labradas, una sobre un solo cuerno y la otra sobre un solo colmillo. Interrogado por un periodista, Ventris ha dicho que su impresión, más que de asombro, es de horror, al pensar, en vista de ese cuerno, de ese colmillo, en el tamaño que debieron de haber tenido los rinocerontes y elefantes pre-homéricos.
FIN"
fernanda_hernandez_0004,El tercer baile macabro,"Anderson Imbert, Enrique",fabulas,es,186,Folk Stories around the World,fernanda_hernandez,ef45cacb687c1e6edf25ebcc6a8a448873c62a1a,"Cuando Pablo tenía diez años bajó al sótano y vio a su padre ahorcado del techo. El choque fue espantoso: quedó melancólico, estremecido, tartamudo. Pasaron diez años y se casó con una niña a la que acababa de conocer en una playa veraniega. La noche de bodas descubrió que su mujer padecía de una subluxación de la columna cervical: las vértebras comprimían unas raíces nerviosas. Pablo, el melancólico, el estremecido, el tartamudo, tuvo que aprender a aliviarla del dolor. Le enlazaba el cuello y la barbilla y, tirando de una cuerda que corría por una polea del techo, la levantaba hasta que quedase en puntillas. Todas las noches creaba abismos bajo los pies de su mujer. Abismos chiquititos. Con ellos se fue llenando el abismo grandote que durante diez años había obsesionado a Pablo, desde que lo vio una vez bajo los pies de su padre. Se acostumbró a manejar la horca. Hasta la idea misma de la horca le divertía. Viendo a su mujer como una guinda se le alegraba el ánimo. Al final perdió la melancolía, el estremecimiento, la tartamudez y la mujer.
FIN"
fernanda_hernandez_0005,El beso prohibido,"Anderson Imbert, Enrique",fabulas,es,127,Folk Stories around the World,fernanda_hernandez,84f1046e5c02e026bf20508aeb2317b686373e8e,"La reina de un remoto país del norte, despechada porque Alejandro el Magno había rechazado su amor, decidió vengarse. Con uno de sus esclavos tuvo una hija y la alimentó con veneno. La niña creció, hermosa y letal. Sus labios reservaban la muerte al que los besara. La reina se la envió a Alejandro, como esposa; y Alejandro, al verla, enloqueció de deseos y quiso besarla inmediatamente. Pero Aristóteles, su maestro de filosofía, sospechó que la muchacha era un deletéreo alimento y, para estar seguro, hizo que un malhechor, condenado a muerte, la besara. Apenas la besó, el malhechor murió retorciéndose de dolor.
Alejandro no quiso poner sus labios en la muchacha, no porque estuviera llena de veneno, sino porque otro hombre había bebido en esa copa."
fernanda_hernandez_0006,La gran inundación,"Anderson Imbert, Enrique",fabulas,es,118,Folk Stories around the World,fernanda_hernandez,f0198bbce12bf2043a56033a665d0ed3f8cf6d6a,"Zeus, para mejorar la raza humana, ordenó a Eolo y Posidón que anegaran la tierra.
Diluvió. Mares y ríos se juntaron. Inmensas ciudades inmersas.
Los hombres se defendieron construyendo balsas y embarcaciones. Vislumbraban, en el fondo del agua, el techo de sus casas y confiaban en que alguna vez podrían retornar. Entre tanto, remaban sobre sus huertos y se zambullían para coger manzanas; pescaban peces que andaban como pájaros por entre las ramas más altas de los nogales.
Entonces, antes de que Zeus volviera a poner las cosas como estaban, las sirenas acudieron presurosas de todas partes y aprovecharon esa ocasión única para recorrer, con ojos asombrados, las calles sumergidas por donde habían caminado los fabulosos hombres.
FIN"
fernanda_hernandez_0007,El vencedor,"Anderson Imbert, Enrique",fabulas,es,142,Folk Stories around the World,fernanda_hernandez,9cbe5708cd131e655cdd57a1427aa5d83c77f243,"Bandidos asaltan la ciudad de Mexcatle y ya dueños del botín de guerra emprenden la retirada. El plan es refugiarse al otro lado de la frontera, pero mientras tanto pasan la noche en una casa en ruinas, abandonada en el camino. A la luz de las velas juegan a los naipes. Cada uno apuesta las prendas que ha saqueado. Partida tras partida, el azar favorece al Bizco, quien va apilando las ganancias debajo de la mesa: monedas, relojes, alhajas, candelabros… Temprano por la mañana el Bizco mete lo ganado en una bolsa, la carga sobre los hombros y agobiado bajo ese peso sigue a sus compañeros, que marchan cantando hacia la frontera. La atraviesan, llegan sanos y salvos a la encrucijada donde han resuelto separarse y allí matan al Bizco. Lo habían dejado ganar para que les transportase el pesado botín.
FIN"
fernanda_hernandez_0008,El último salto,"Anderson Imbert, Enrique",fabulas,es,250,Folk Stories around the World,fernanda_hernandez,9d9bdaae1398d6eeef65469e17a733dbe1829f1e,"Al pie de la Biblia abierta -donde estaba señalado en rojo el versículo que lo explicaría todo- alineó las cartas: a su mujer, al juez, a los amigos. Después bebió el veneno y se acostó.
Nada. A la hora se levantó y miró el frasco. Sí, era el veneno.
¡Estaba tan seguro! Recargó la dosis y bebió otro vaso. Se acostó de nuevo. Otra hora. No moría. Entonces disparó su revólver contra la sien. ¿Qué broma era ésa? Alguien -¿pero quién, cuándo?- alguien le había cambiado el veneno por agua, las balas por cartuchos de fogueo. Disparó contra la sien las otras cuatro balas. Inútil. Cerró la Biblia, recogió las cartas y salió del cuarto en momentos en que el dueño del hotel, mucamos y curiosos acudían alarmados por el estruendo de los cinco estampidos.
Al llegar a su casa se encontró con su mujer envenenada y con sus cinco hijos en el suelo, cada uno con un balazo en la sien.
Tomó el cuchillo de la cocina, se desnudó el vientre y se fue dando cuchilladas. La hoja se hundía en las carnes blandas y luego salía limpia como del agua. Las carnes recobraban su lisitud como el agua después que le pescan el pez.
Se derramó nafta en la ropa y los fósforos se apagaban chirriando.
Corrió hacia el balcón y antes de tirarse pudo ver en la calle el tendal de hombres y mujeres desangrándose por los vientres acuchillados, entre las llamas de la ciudad incendiada.
FIN"
fernanda_hernandez_0009,El círculo infinito,"Anderson Imbert, Enrique",fabulas,es,195,Folk Stories around the World,fernanda_hernandez,f1c1ac8dc8211056e5d91e7d938e5e99857eefd2,"Regresé a casa en la madrugada, cayéndome de sueño. Al entrar, todo oscuro. Para no despertar a nadie avancé de puntillas y llegué a la escalera de caracol que conducía a mi cuarto. Apenas puse el pie en el primer escalón dudé de si esa era mi casa o una casa idéntica a la mía. Y mientras subía temí que otro muchacho, igual a mí, estuviera durmiendo en mi cuarto y acaso soñándome en el acto mismo de subir por la escalera de caracol. Di la última vuelta, abrí la puerta y allí estaba él, o yo, todo iluminado de Luna, sentado en la cama, con los ojos bien abiertos. Nos quedamos un instante mirándonos de hito en hito. Nos sonreímos. Sentí que la sonrisa de él era la que también me pesaba en la boca: como en un espejo, uno de los dos era falaz. «¿Quién sueña con quién?», exclamó uno de nosotros, o quizá ambos simultáneamente. En ese momento oímos ruidos de pasos en la escalera de caracol: de un salto nos metimos uno en otro y así fundidos nos pusimos a soñar al que venía subiendo, que era yo otra vez.
FIN"
fernanda_hernandez_0011,Crónicas romanas III,"Anderson Imbert, Enrique",fabulas,es,220,Folk Stories around the World,fernanda_hernandez,8e3fcf124e395cfd58e27692c64e2a41565a0cea,"Un gran crujido y se partió la superficie de la tierra: quedó una profunda brecha, justamente en medio de Roma. Los hombres sintieron que mientras la ciudad estuviera así rajada no podrían ser felices. ¿Qué hacer? El Pontífice dijo que sin duda era voluntad de los dioses dejar el abismo abierto hasta que alguien se sacrificara por todos, arrojándose a él. Apenas su cuerpo se estrellara en el fondo, los bordes del precipicio se cerrarían: herida que cicatriza después de la puñalada, surco que se alisa después que le meten la semilla. Lanzaron proclamas: ¿hay quien quiera sacrificarse? Tenía que ser el sacrificio de alguien que gozase de la vida, no el suicidio de un desesperado o una caída accidental. Pasó el tiempo y nadie se ofrecía. Un buen día se presentó Marcus Curtius y dijo que con mucho gusto se echaría al pozo, pero con una condición: que durante un año le permitieran hacer todo lo que le viniese en gana. Completa libertad. Se la otorgaron. Marcus Curtius empezó a vivir desenfrenadamente: robaba, asesinaba, violaba mujeres, incendiaba templos.
Marcus Curtius resultó peor que el abismo.
La gente decidió no esperar que se cumpliera el plazo del año y una tarde mataron a Marcus Curtius y tiraron su cadáver al abismo. Así, con esa primera basura, empezaron a llenarlo.
FIN"
